WORD	IMAG
examination	575
examine	341
exasperation	375
excellent	366
exception	232
excessive	317
exchange	394
excise	287
excitable	397
excitement	452
exciting	407
exclusion	326
excuse	310
executive	513
exertion	445
exhaust	520
exhaustion	505
exhibit	376
exit	512
expanse	497
expansion	417
expedition	472
expensive	402
experience	367
explanation	329
exploration	451
expose	346
exposure	431
express	456
expression	386
expulsion	363
extensive	307
extent	248
exterior	397
extermination	422
extra	337
extravagant	417
extreme	332
exuberant	402
eye	603
eyrie	408
fable	477
fabric	544
face	581
facility	320
fact	302
factor	269
factory	608
fail	380
failing	419
failure	437
faint	466
fair	439
fairy	536
falconer	422
fall	547
fallacy	287
falling	442
false	315
falsehood	326
family	577
famous	376
fan	582
fancy	384
fane	205
fang	559
fantasy	455
far	411
fare	384
farewell	466
farm	560
farmyard	594
farther	343
farthing	381
fashion	474
fast	411
faster	362
fat	574
fate	343
father	646
fatherland	378
fatigue	502
fault	323
favourite	378
fawn	565
faze	295
fear	394
feast	610
feat	365
fee	440
feel	363
feeling	370
feet	597
feint	313
feline	471
fell	431
fellow	435
felt	483
fence	611
fencing	518
ferry	592
fertile	446
fervour	345
festivity	520
fetish	342
feudal	373
feudalism	409
fever	563
few	333
fiddle	555
fidgety	407
fielder	472
fifteen	491
fight	543
figment	304
figure	526
file	442
fill	415
filling	477
film	562
filter	490
filth	517
final	407
finance	405
find	370
fine	392
finish	437
finished	361
finite	365
fiord	551
fir	461
fire	634
fireplace	639
firewood	586
firm	404
firmament	443
first	388
fish	615
fisherman	610
fishing	599
fissure	381
five	529
fixed	341
flag	607
flair	425
flame	598
flaming	509
flannel	520
flare	509
flash	528
flask	614
flavour	472
flax	389
flea	606
flee	431
fleece	547
fleet	510
flesh	567
flexibility	395
flicker	506
flighty	347
flippant	361
float	525
flock	516
flood	598
floor	544
flora	472
flourish	391
flow	417
flower	618
flue	400
flush	530
flute	581
flutter	459
fly	582
flyer	478
foal	448
foam	600
foe	435
fog	606
foible	279
foil	495
following	349
folly	326
fond	363
font	497
food	539
fool	436
foolish	313
foot	597
football	597
footstep	526
footwear	583
for	216
forbade	320
forbid	367
force	437
forceps	553
fore	340
forearm	529
forecast	435
forehead	596
foreign	404
foreigner	516
forelock	421
forest	633
forethought	308
forfeit	310
forgetful	354
fork	598
form	452
formaldehyde	460
formation	409
former	283
fort	559
forth	336
fortification	426
fortune	459
forward	329
foul	467
foundation	429
founder	339
fountain	602
four	491
fourth	384
fowl	528
fox	607
foxtrot	478
frail	430
frame	508
franc	426
franchise	309
frank	419
frantic	400
fraternal	376
fraternity	508
fraud	381
free	397
freedom	437
freely	354
freeze	521
freight	465
frenzy	450
fresh	453
friar	497
friction	445
friend	587
friendly	439
friendship	535
frieze	315
frigid	463
frill	497
frivolous	378
frock	403
frog	617
from	239
front	427
frontage	464
frost	595
frown	589
frugal	367
fruit	587
frustrate	381
fudge	567
fuel	521
full	437
fullness	364
fun	515
function	294
functional	288
functionary	263
funny	468
fur	588
furnace	586
furniture	588
further	300
fury	462
fuse	479
fuselage	402
fussy	400
future	413
fuzzy	519
gabardine	402
gable	424
gadfly	401
gadid	195
gaiety	546
gain	307
gait	377
galaxy	575
gallant	447
gallery	566
gallon	525
game	521
gang	535
garbage	596
garden	635
gardenia	564
garlic	565
garment	507
garret	429
gas	532
gasket	487
gasp	491
gate	545
gaudy	446
gauntlet	450
gavel	539
geese	603
gem	572
gender	376
general	491
generation	362
generous	348
genius	456
gentle	422
gentleman	559
gentry	462
genuine	378
geographical	400
geography	470
germ	442
gesture	432
get	264
ghost	552
giant	562
giddy	451
gift	553
gig	437
gilt	390
gin	555
ginger	430
gingerbread	572
gingham	523
girdle	559
girl	634
gist	262
give	383
giver	378
glacier	580
glad	445
glare	536
glass	585
gleam	511
glimpse	422
glitter	503
globe	583
gloom	429
gloomy	436
glory	389
glove	596
glum	383
glut	334
glutton	548
gnat	550
gnu	346
go	364
goal	556
goat	585
goblet	577
god	461
goddess	515
godhead	324
gold	594
golden	562
golf	616
gondola	572
gone	313
good	374
good-natured	434
goodness	416
goof	360
goral	206
gore	429
gorilla	634
gospel	440
got	286
government	486
gown	578
grace	441
graceful	483
gracious	397
grade	397
graduate	516
graduation	577
graft	404
gramercy	148
grammar	392
grandfather	564
grandmother	609
granny	546
granular	504
grape	591
graph	535
graphic	352
graphite	443
grass	602
grasshopper	630
grate	424
gratitude	396
grave	619
gravel	569
gravity	388
gravy	594
gray	541
graze	470
great	390
greatly	295
greed	420
greedily	373
greedy	427
green	609
greenness	540
gregarious	334
grief	480
grievance	340
grind	485
grip	540
grisly	437
grizzly	523
groan	506
grocer	551
groin	516
ground	513
group	467
grove	470
grow	371
grown	292
growth	426
grudge	373
guard	530
guess	330
guest	497
guide	482
guilt	381
gulf	491
gullet	409
gullible	359
gun	613
gush	483
gust	456
gutter	506
guy	551
gybe	190
gym	613
gymnastics	562
habit	418
habitation	466
habitual	334
had	296
haddock	532
hail	477
